,CTC_Apus_melba,CMNH37000_Aerodramus_whiteheadi,FMNH358312_Collocalia_troglodytes,09NC56_Collocalia_uropygialis,DHC88_Collocalia_esculenta,DHC66_Aerodramus_brevirostris_vulcanorum,DHC31_Aerodramus_spodiopygius_spodiopygius,AC10-07_Aerodramus_ocistus_ocistus,DHC04_Aerodramus_fuciphagus_germani,ROAF1_Aerodramus_fuciphagus_germani,DMT042_Aerodramus_maximus,DHC36_Aerodramus_spodiopygius_assimilis,DHC37_Aerodramus_spodiopygius_assimilis,M2049_Aerodramus_brevirostris,M2123_Aerodramus_brevirostris,14F2_Aerodramus_spodiopygius_assimilis,DHC39_Aerodramus_spodiopygius_assimilis,DHC40_Aerodramus_fuciphagus_vestitus,DMT027_Aerodramus_fuciphagus_vestitus,DMT002_Aerodramus_salangana_natunae,EP52-03_Aerodramus_sororum,LC1_Aerodramus_francicus_cytb_Reunion,SEA116_Aerodramus_mearnsi,195235_Aerodramus_ocistus_ocistus,195236_Aerodramus_ocistus_ocistus,195261_Aerodramus_ocistus_gilliardi,AC05-01_Aerodramus_leucophaeus,AC09-S3_Aerodramus_leucophaeus,UWBM58708_Aerodramus_vanikorensis_lugubrius,JBF08-96_Aerodramus_spodiopygius_leucopygius,DHC28_Aerodramus_terraereginae,DHC03_Aerodramus_maximus,DMT048_Aerodramus_salangana_natunae,DMT047_Aerodramus_salangana_natunae,EP52-01_Aerodramus_sororum,EP52-02_Aerodramus_sororum,DHC52_Aerodramus_francicus_Mauritius,DHC53_Aerodramus_francicus_Mauritius,DHC59_Aerodramus_elaphrus,DHC60_Aerodramus_elaphrus,DHC61_Aerodramus_elaphrus,EPAL2_Aerodramus_elaphrus,DHC01_Aerodramus_vanikorensis_palawensis,DHC06_Aerodramus_vanikorensis_palawensis,AC10-02_Aerodramus_ocistus_ocistus,AC10-04_Aerodramus_ocistus_ocistus,AC09-09_Aerodramus_ocistus_ocistus,AC10-01_Aerodramus_ocistus_ocistus,190167_Aerodramus_ocistus_gilliardi,195258_Aerodramus_ocistus_gilliardi,DHC77_Aerodramus_bartschi,09NC38_Aerodramus_spodiopygius_leucopygius,09NC39_Aerodramus_spodiopygius_leucopygius,DHC20_Aerodramus_terraereginae,DHC30_Aerodramus_terraereginae,DMT040_Aerodramus_maximus,MC10-01_Aerodramus_sawtelli,MC10-02_Aerodramus_sawtelli,W3_Aerodramus_sawtelli,DHC117_Aerodramus_maximus,DHC120_Aerodramus_maximus
DMT042_Aerodramus_maximus,0.119850,0.135755,0.099839,0.089649,0.090574,0.020483,0.041747,0.043461,0.045686,0.043160,0.000000,0.044677,0.044108,0.044512,0.044510,0.042846,0.044065,0.047998,0.044348,0.043930,0.053605,0.051047,0.043814,0.049042,0.048439,0.046006,0.047177,0.042170,0.045251,0.049206,0.038936,0.005720,0.044170,0.043984,0.052751,0.051849,0.052921,0.053038,0.053605,0.051625,0.050386,0.058873,0.047646,0.047635,0.048593,0.048449,0.049706,0.049428,0.055969,0.050216,0.046543,0.049206,0.049206,0.043278,0.040921,0.007466,0.041998,0.041643,0.041809,0.007467,0.007467
DHC36_Aerodramus_spodiopygius_assimilis,0.114117,0.130022,0.094106,0.083916,0.084841,0.032414,0.011132,0.012846,0.015071,0.012545,0.044677,0.000000,0.001819,0.013897,0.013895,0.012231,0.013450,0.017383,0.013733,0.013315,0.022990,0.020432,0.013199,0.018427,0.017824,0.015391,0.016562,0.011555,0.014636,0.043473,0.033203,0.043401,0.013555,0.013369,0.022136,0.021234,0.022306,0.022423,0.022990,0.021010,0.019771,0.028258,0.017031,0.017020,0.017978,0.017834,0.019091,0.018813,0.025354,0.019601,0.015928,0.043473,0.043473,0.037545,0.035188,0.045147,0.011383,0.011028,0.011194,0.045148,0.045148
DHC37_Aerodramus_spodiopygius_assimilis,0.113548,0.129453,0.093537,0.083347,0.084272,0.031845,0.010563,0.012277,0.014502,0.011976,0.044108,0.001819,0.000000,0.013328,0.013326,0.011662,0.012881,0.016814,0.013164,0.012746,0.022421,0.019863,0.012630,0.017858,0.017255,0.014822,0.015993,0.010986,0.014067,0.042904,0.032634,0.042832,0.012986,0.012800,0.021567,0.020665,0.021737,0.021854,0.022421,0.020441,0.019202,0.027689,0.016462,0.016451,0.017409,0.017265,0.018522,0.018244,0.024785,0.019032,0.015359,0.042904,0.042904,0.036976,0.034619,0.044578,0.010814,0.010459,0.010625,0.044579,0.044579
M2049_Aerodramus_brevirostris,0.113952,0.129857,0.093941,0.083751,0.084676,0.032249,0.010967,0.012681,0.014906,0.012380,0.044512,0.013897,0.013328,0.000000,0.000002,0.012066,0.013285,0.017218,0.013568,0.013150,0.022825,0.020267,0.013034,0.018262,0.017659,0.015226,0.016397,0.011390,0.014471,0.043308,0.033038,0.043236,0.013390,0.013204,0.021971,0.021069,0.022141,0.022258,0.022825,0.020845,0.019606,0.028093,0.016866,0.016855,0.017813,0.017669,0.018926,0.018648,0.025189,0.019436,0.015763,0.043308,0.043308,0.037380,0.035023,0.044982,0.011218,0.010863,0.011029,0.044983,0.044983
M2123_Aerodramus_brevirostris,0.113950,0.129855,0.093939,0.083749,0.084674,0.032247,0.010965,0.012679,0.014904,0.012378,0.044510,0.013895,0.013326,0.000002,0.000000,0.012064,0.013283,0.017216,0.013566,0.013148,0.022823,0.020265,0.013032,0.018260,0.017657,0.015224,0.016395,0.011388,0.014469,0.043306,0.033036,0.043234,0.013388,0.013202,0.021969,0.021067,0.022139,0.022256,0.022823,0.020843,0.019604,0.028091,0.016864,0.016853,0.017811,0.017667,0.018924,0.018646,0.025187,0.019434,0.015761,0.043306,0.043306,0.037378,0.035021,0.044980,0.011216,0.010861,0.011027,0.044981,0.044981
14F2_Aerodramus_spodiopygius_assimilis,0.112286,0.128191,0.092275,0.082085,0.083010,0.030583,0.009301,0.011015,0.013240,0.010714,0.042846,0.012231,0.011662,0.012066,0.012064,0.000000,0.003695,0.015552,0.011902,0.011484,0.021159,0.018601,0.011368,0.016596,0.015993,0.013560,0.014731,0.009724,0.012805,0.041642,0.031372,0.041570,0.011724,0.011538,0.020305,0.019403,0.020475,0.020592,0.021159,0.019179,0.017940,0.026427,0.015200,0.015189,0.016147,0.016003,0.017260,0.016982,0.023523,0.017770,0.014097,0.041642,0.041642,0.035714,0.033357,0.043316,0.009552,0.009197,0.009363,0.043317,0.043317
DHC39_Aerodramus_spodiopygius_assimilis,0.113505,0.129410,0.093494,0.083304,0.084229,0.031802,0.010520,0.012234,0.014459,0.011933,0.044065,0.013450,0.012881,0.013285,0.013283,0.003695,0.000000,0.016771,0.013121,0.012703,0.022378,0.019820,0.012587,0.017815,0.017212,0.014779,0.015950,0.010943,0.014024,0.042861,0.032591,0.042789,0.012943,0.012757,0.021524,0.020622,0.021694,0.021811,0.022378,0.020398,0.019159,0.027646,0.016419,0.016408,0.017366,0.017222,0.018479,0.018201,0.024742,0.018989,0.015316,0.042861,0.042861,0.036933,0.034576,0.044535,0.010771,0.010416,0.010582,0.044536,0.044536
DHC40_Aerodramus_fuciphagus_vestitus,0.117438,0.133343,0.097427,0.087237,0.088162,0.035735,0.014453,0.016167,0.018392,0.015866,0.047998,0.017383,0.016814,0.017218,0.017216,0.015552,0.016771,0.000000,0.003650,0.016636,0.026311,0.023753,0.016520,0.021748,0.021145,0.018712,0.019883,0.014876,0.017957,0.046794,0.036524,0.046722,0.016876,0.016690,0.025457,0.024555,0.025627,0.025744,0.026311,0.024331,0.023092,0.031579,0.020352,0.020341,0.021299,0.021155,0.022412,0.022134,0.028675,0.022922,0.019249,0.046794,0.046794,0.040866,0.038509,0.048468,0.014704,0.014349,0.014515,0.048469,0.048469
DMT027_Aerodramus_fuciphagus_vestitus,0.113788,0.129693,0.093777,0.083587,0.084512,0.032085,0.010803,0.012517,0.014742,0.012216,0.044348,0.013733,0.013164,0.013568,0.013566,0.011902,0.013121,0.003650,0.000000,0.012986,0.022661,0.020103,0.012870,0.018098,0.017495,0.015062,0.016233,0.011226,0.014307,0.043144,0.032874,0.043072,0.013226,0.013040,0.021807,0.020905,0.021977,0.022094,0.022661,0.020681,0.019442,0.027929,0.016702,0.016691,0.017649,0.017505,0.018762,0.018484,0.025025,0.019272,0.015599,0.043144,0.043144,0.037216,0.034859,0.044818,0.011054,0.010699,0.010865,0.044819,0.044819
DMT002_Aerodramus_salangana_natunae,0.113370,0.129275,0.093359,0.083169,0.084094,0.031667,0.010385,0.012099,0.014324,0.011798,0.043930,0.013315,0.012746,0.013150,0.013148,0.011484,0.012703,0.016636,0.012986,0.000000,0.022243,0.019685,0.012452,0.017680,0.017077,0.014644,0.015815,0.010808,0.013889,0.042726,0.032456,0.042654,0.002158,0.001972,0.021389,0.020487,0.021559,0.021676,0.022243,0.020263,0.019024,0.027511,0.016284,0.016273,0.017231,0.017087,0.018344,0.018066,0.024607,0.018854,0.015181,0.042726,0.042726,0.036798,0.034441,0.044400,0.010636,0.010281,0.010447,0.044401,0.044401
